service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2773358,0,0,0,0,0,0,0,20190531,20190726
2773357,0,0,0,0,0,0,0,20190802,20190802
2773356,0,0,0,0,0,0,0,20190208,20190430
12773346,0,0,0,0,0,0,0,20190603,20190729
12773347,0,0,0,0,0,0,0,20190211,20190531
12773348,0,0,0,0,0,0,0,20190422,20190422
12773349,0,0,0,0,0,0,0,20190702,20190801
2773346,0,0,0,0,0,0,0,20190602,20190728
12773350,0,0,0,0,0,0,0,20190206,20190430
2773348,0,0,0,0,0,0,0,20190421,20190421
2773347,0,0,0,0,0,0,0,20190210,20190530
2773349,0,0,0,0,0,0,0,20190701,20190731
12773357,0,0,0,0,0,0,0,20190803,20190803
12773358,0,0,0,0,0,0,0,20190601,20190727
2773350,0,0,0,0,0,0,0,20190205,20190429
12773355,0,0,0,0,0,0,0,20190216,20190629
12773356,0,0,0,0,0,0,0,20190209,20190501
2773351,0,0,0,0,0,0,0,20190211,20190627
2773352,0,0,0,0,0,0,0,20190801,20190801
12773353,0,0,0,0,0,0,0,20190602,20190804
2773353,0,0,0,0,0,0,0,20190601,20190803
12773354,0,0,0,0,0,0,0,20190210,20190526
2773354,0,0,0,0,0,0,0,20190209,20190525
12773351,0,0,0,0,0,0,0,20190212,20190628
2773355,0,0,0,0,0,0,0,20190215,20190628
12773352,0,0,0,0,0,0,0,20190802,20190802
