from_stop_id,to_stop_id,transfer_type,min_transfer_time
3765239,2453,2,225
4008235,1708,2,245
967988,1647,2,180
4016319,2447,2,199
4459280,1993,2,270
1704,5922218,2,255
3765191,1890,2,198
3812998,2291,2,244
5018190,1890,2,257
3672110,1745,2,219
3764731,1946,2,240
2469,1715,2,480
4037209,1946,2,253
1723,1715,2,480
4199333,1993,2,268
5018188,1972,2,230
6423484,1709,2,196
4008247,1814,2,231
3747930,2513,2,226
3893471,1946,2,240
5121020,2343,2,240
3926396,2527,2,204
3807569,2001,2,268
3765236,1637,2,225
4037173,2531,2,210
4036981,1678,2,257
3765236,2517,2,225
6591509,2549,2,221
5454900,2457,2,267
6591842,2527,2,217
4037174,1651,2,196
6640123,1873,2,208
3687684,2183,2,270
4687322,2425,2,202
3740539,1917,2,198
5419722,2343,2,230
4024982,2343,2,306
3749909,2201,2,193
4036827,2286,2,257
5121562,1747,2,189
3893338,2286,2,186
3749905,2043,2,219
3749914,1715,2,199
3926277,1745,2,207
3764503,1702,2,199
4037285,1819,2,212
4016360,1890,2,198
2310,2311,2,110
7275302,1946,2,235
4016276,2457,2,267
3926396,1647,2,204
4008919,1804,2,242
3749689,2286,2,267
4036635,1633,2,194
3807571,2457,2,198
4036619,1993,2,268
3764611,1678,2,257
7131598,2549,2,316
5710046,1712,2,253
4008202,1972,2,281
7714337,2425,2,284
1946,1945,2,300
4008855,1637,2,194
5727677,2425,2,284
4008836,2286,2,198
3740527,1895,2,233
5727678,2425,2,202
2285,1890,2,77
3681810,2280,2,225
3343776,2488,2,180
4045021,1715,2,243
6423481,2032,2,275
6591450,1647,2,217
5727676,1747,2,201
3749776,2447,2,213
3740532,1637,2,224
3672262,2531,2,270
5710046,2457,2,253
4037046,2488,2,270
7176400,2531,2,270
3926288,2531,2,210
4015761,2280,2,302
3749904,2043,2,272
6423473,2311,2,232
4008236,1708,2,236
5709988,2457,2,253
7170694,2527,2,207
3343778,1647,2,180
2053,1890,2,250
4008944,2343,2,240
3690063,2423,2,233
3893338,1890,2,186
1687,2517,2,96
5121010,2343,2,254
4008855,2517,2,194
4199377,2269,2,195
5121347,2425,2,284
3765277,2278,2,203
4008876,2425,2,284
5121348,1747,2,201
3765235,2517,2,208
5710086,2447,2,199
3673595,2513,2,225
4687323,1747,2,189
3764735,1819,2,244
3764732,2201,2,208
1677,1678,2,105
2376,2527,2,118
2201,1945,2,300
3716874,1890,2,254
6591505,1884,2,297
4022892,2201,2,253
3807568,2488,2,195
7013440,2425,2,206
3442582,2280,2,216
6423478,2513,2,222
3740521,1730,2,301
6263560,1873,2,213
6423468,1647,2,243
7170694,1647,2,207
6263595,1993,2,268
4997014,2527,2,253
3926256,2423,2,237
5710028,2447,2,199
3740323,2517,2,214
5231588,2269,2,195
1767,2527,2,105
3813154,2162,2,205
4473413,1804,2,240
3672110,2423,2,219
6263558,1993,2,262
3343772,2457,2,180
4008992,1804,2,240
4036826,1702,2,282
4008214,1730,2,241
4037284,2460,2,199
4036655,2447,2,192
3811247,2043,2,272
5121808,2343,2,243
7714339,2425,2,215
4008834,1972,2,232
4726959,2001,2,198
4036750,2286,2,198
3687679,1873,2,194
4022953,1946,2,240
5419722,1804,2,230
4036981,2488,2,257
4036655,1702,2,192
6423465,2527,2,253
4022956,2358,2,212
3764742,1946,2,262
3926256,1745,2,237
3690063,1745,2,233
6423485,2454,2,198
3811231,2227,2,227
5018188,2227,2,230
3740533,2517,2,194
3807572,1702,2,213
7176242,1651,2,270
3764735,2358,2,244
3672170,2531,2,270
4726958,2190,2,268
6423508,2531,2,204
7714337,1747,2,284
7176243,1651,2,270
1817,2355,2,51
2339,2531,2,200
3765230,2291,2,203
3343773,2001,2,180
4008992,2343,2,240
4996988,2527,2,217
4008235,2453,2,245
6423483,2032,2,204
3740518,1715,2,199
3672170,1651,2,270
3926289,1651,2,196
5710086,1702,2,199
3926282,2014,2,192
6217394,1917,2,271
3764731,2201,2,240
4364001,1873,2,252
3685920,2183,2,213
4008878,2425,2,225
5709988,1712,2,253
2201,2200,2,300
4459241,1890,2,198
6591505,2280,2,297
3740558,1819,2,244
3687262,2032,2,224
4199339,2269,2,240
3672237,1651,2,270
3740538,1917,2,210
1724,2460,2,480
7827025,2549,2,316
3687261,2032,2,194
3764734,2358,2,227
4008885,2440,2,213
4024983,1804,2,303
4687323,2425,2,189
3749776,1702,2,213
4199335,2183,2,270
4687322,1747,2,202
3687680,1873,2,187
3807568,1678,2,195
4015762,2280,2,240
3687678,1873,2,207
4459279,2183,2,288
3740533,1637,2,194
5121342,2280,2,215
4036659,2286,2,186
2531,2371,2,151
4009643,1715,2,237
5231635,1873,2,208
2468,1715,2,480
3740520,2358,2,225
2285,2286,2,86
3343769,1702,2,180
2354,1814,2,89
6640122,1873,2,208
4199336,1993,2,268
6591508,1884,2,195
3749908,1946,2,190
4016360,2286,2,198
4459282,1873,2,208
4015762,1884,2,240
4015760,2280,2,297
3687442,1844,2,243
7013446,1814,2,231
3748086,2531,2,190
7069439,2549,2,316
5121380,1804,2,202
5121380,2343,2,202
3685919,2183,2,185
4473414,2343,2,254
5018395,2488,2,257
4037268,1647,2,217
1820,1819,2,55
3740558,2358,2,244
3343771,1712,2,180
7069441,2549,2,319
5018390,2488,2,270
6423471,2311,2,198
3764737,1715,2,199
3765151,1890,2,257
3740322,2517,2,216
5727641,2043,2,225
3687679,2269,2,194
7013446,2353,2,231
1166841,1715,2,140
6423486,2531,2,189
4015763,1884,2,216
967989,1647,2,180
4008878,1747,2,225
1833,1651,2,176
4726751,2043,2,205
6263557,2183,2,288
3765234,1637,2,194
7714380,1747,2,218
3343777,1647,2,180
6664354,1651,2,252
2460,4473188,2,243
4834559,1804,2,240
5231591,1993,2,262
4008889,2286,2,198
4015757,1747,2,216
3765247,2043,2,205
4036824,2457,2,253
3343776,1678,2,180
3893474,2358,2,212
6591508,2280,2,195
6423478,1633,2,222
4726916,1890,2,198
3716944,2286,2,241
1166840,2460,2,140
6423480,2151,2,282
3807630,2488,2,270
1767,1647,2,120
3343778,2527,2,180
1834,1651,2,200
3764648,1678,2,270
3764740,1819,2,225
6423475,2459,2,197
4364002,1873,2,252
3764648,2488,2,270
7013444,2261,2,235
3807571,1712,2,198
5018190,2286,2,257
4008240,1917,2,192
3442582,1884,2,216
4008889,1890,2,198
5727678,1747,2,202
3765229,2291,2,250
4036619,2183,2,268
4036824,1712,2,253
5121341,2280,2,195
4997014,1647,2,253
6591502,2425,2,216
4037173,1651,2,210
3813134,2043,2,194
1835,1651,2,178
6423482,2151,2,195
1843,2311,2,103
7714339,1747,2,215
3893405,1730,2,223
5018189,2286,2,198
3765149,1972,2,230
4022892,1946,2,253
5121003,1804,2,254
3740518,2460,2,199
7176290,2286,2,198
4008884,2295,2,234
1817,1816,2,63
6591506,2280,2,302
5727640,2162,2,245
3343774,2190,2,180
3765229,1895,2,250
6423465,1647,2,253
3740519,2460,2,243
3343777,2527,2,180
7653696,1715,2,279
6591842,1647,2,217
3343773,2190,2,180
3926283,2014,2,229
6591500,2425,2,201
6423474,1714,2,194
4037210,2201,2,235
3672237,2531,2,270
3926280,1882,2,213
7714336,2425,2,201
4008839,2460,2,243
4834508,1804,2,241
4024983,2343,2,303
3764552,1712,2,267
3749911,1819,2,227
4015761,1884,2,302
1722,2460,2,480
5121340,2088,2,251
3687071,1633,2,225
4726916,2286,2,198
6664357,1651,2,203
3685919,1993,2,185
3764737,2460,2,199
4037210,1946,2,235
6664354,2531,2,252
6423484,2454,2,196
4022956,1819,2,212
6591502,1747,2,216
3740521,2441,2,301
4364001,2269,2,252
5121003,2343,2,254
3807570,2190,2,198
4009641,1890,2,241
5727679,1747,2,217
1833,2531,2,149
6664353,1651,2,201
1651,2371,2,166
3765287,1882,2,207
2376,1647,2,130
3764656,1678,2,257
6423475,1714,2,197
5121343,1884,2,302
3765228,2043,2,194
5231632,1993,2,288
3740322,1637,2,216
4022893,2201,2,235
4037174,2531,2,196
5121561,2425,2,195
5121378,2425,2,216
4008877,1747,2,225
4726958,2488,2,189
3807569,1678,2,189
3672109,1745,2,213
3749912,2358,2,244
4008239,1917,2,260
6591526,1647,2,229
5121379,2088,2,221
3813000,2291,2,270
4008215,1730,2,212
6217393,2242,2,198
3747811,2286,2,198
5727679,2425,2,217
3672109,2423,2,213
4199334,2183,2,291
4008246,2353,2,263
3764769,1730,2,301
2339,1651,2,200
6423467,1647,2,217
4009643,2460,2,237
3687683,2183,2,268
6640123,2269,2,208
3765287,2278,2,207
3764741,2441,2,301
4008885,1762,2,213
4036617,1873,2,195
4726960,2457,2,198
5018395,1678,2,257
4009644,2460,2,243
4996988,1647,2,217
4834508,2343,2,241
3926279,1745,2,211
7013439,1747,2,201
3764767,1715,2,199
4008239,2242,2,260
5231606,1633,2,194
4726962,1702,2,282
