from_stop_id,to_stop_id,transfer_type,min_transfer_time
2476,3813108,2,218
2252,3812978,2,210
2150,3811267,2,199
1916,5121368,2,269
2533,3687424,2,187
2533,3687425,2,189
1916,6591481,2,269
1977,6251749,2,245
7176293,2207,2,197
2252,3812979,2,221
2346,4024524,2,198
2150,6591485,2,229
2031,6591485,2,229
2346,4024523,2,198
2031,6591486,2,237
2150,6591486,2,237
1653,3442423,2,246
1653,3442422,2,227
2167,5018341,2,245
2233,5454887,2,198
1690,3813059,2,215
2004,4008272,2,206
2026,4008871,2,213
1811,5018343,2,278
1811,5018342,2,267
2241,6591481,2,269
2500,3813059,2,215
3764470,1903,2,190
6673108,2167,2,275
2241,1657,2,133
1653,3687425,2,189
1653,3687424,2,187
2476,3893422,2,220
2476,3893423,2,194
2018,5018345,2,213
2018,5018344,2,217
1666,3812963,2,207
2005,7069452,2,208
2005,7069450,2,210
2005,7069451,2,182
1672,2167,2,300
1927,3812978,2,210
1916,3812988,2,274
1666,4009666,2,226
3807589,2252,2,243
1952,3887757,2,232
2256,4008273,2,283
4024988,2005,2,238
1927,3812979,2,221
2167,3765205,2,195
2005,7069449,2,202
2194,7131581,2,319
2476,3765210,2,218
3716888,1811,2,276
2167,4036772,2,245
2194,3442590,2,203
1927,3813119,2,221
1927,3813118,2,210
8433,3740547,2,199
8433,3740548,2,207
5727695,2005,2,203
8433,3740549,2,224
2354,7013446,2,231
2005,3442590,2,203
3716975,2167,2,245
5727690,2194,2,218
2193,3681815,2,230
2533,1845,2,105
3807588,1690,2,279
2193,3681816,2,201
2193,3681818,2,312
2194,4008265,2,218
1817,7013445,2,234
2533,3812926,2,227
1666,3765210,2,218
3343756,2241,2,180
4037260,1952,2,208
4471841,1952,2,208
4025058,2194,2,203
5727690,2005,2,218
3716975,1977,2,245
2476,4009626,2,194
1977,3813068,2,195
3343755,2241,2,180
3716976,1811,2,276
2207,3926338,2,208
3343755,1916,2,180
2004,4008260,2,218
7653679,1666,2,218
5709975,2167,2,275
2194,4008270,2,203
2005,7131581,2,319
2194,4008271,2,222
1666,4009626,2,194
1666,5138220,2,194
2346,7714345,2,260
1977,7170700,2,275
5727688,2005,2,218
2346,7714344,2,256
1927,3812933,2,243
2256,4008869,2,272
1867,3687423,2,235
1666,3812930,2,217
2354,2353,2,71
1977,3813070,2,245
1867,4037039,2,235
2005,4015831,2,203
3716887,1977,2,245
2193,3681846,2,201
2193,3681845,2,312
4024988,2194,2,238
2194,3442588,2,210
2194,3442587,2,202
1653,3765206,2,232
1653,3765207,2,186
1977,7275154,2,275
